Year,Units,Territorio,Value
2010,UNIDAD_MEDIDA.PT,ES53,22.14
2011,UNIDAD_MEDIDA.PT,ES53,17.9
2012,UNIDAD_MEDIDA.PT,ES53,20.61
2013,UNIDAD_MEDIDA.PT,ES53,19.5
2014,UNIDAD_MEDIDA.PT,ES53,18.38
2015,UNIDAD_MEDIDA.PT,ES53,21.99
2016,UNIDAD_MEDIDA.PT,ES53,15.97
2017,UNIDAD_MEDIDA.PT,ES53,23.77
2018,UNIDAD_MEDIDA.PT,ES53,12.8
2010,UNIDAD_MEDIDA.PT,ES,17.63
2011,UNIDAD_MEDIDA.PT,ES,17.82
2012,UNIDAD_MEDIDA.PT,ES,18.98
2013,UNIDAD_MEDIDA.PT,ES,18.69
2014,UNIDAD_MEDIDA.PT,ES,19.88
2015,UNIDAD_MEDIDA.PT,ES,19.51
2016,UNIDAD_MEDIDA.PT,ES,19.81
2017,UNIDAD_MEDIDA.PT,ES,19.69
2018,UNIDAD_MEDIDA.PT,ES,19.14
2019,UNIDAD_MEDIDA.PT,ES,18.59
2019,UNIDAD_MEDIDA.PT,ES53,14.8
