Year,Units,Territorio,Value
2010,unidad_medida: UNIDAD_MEDIDA.PT,ES53,21.64
2011,unidad_medida: UNIDAD_MEDIDA.PT,ES53,17.9
2012,unidad_medida: UNIDAD_MEDIDA.PT,ES53,20.61
2013,unidad_medida: UNIDAD_MEDIDA.PT,ES53,18.31
2014,unidad_medida: UNIDAD_MEDIDA.PT,ES53,19.02
2015,unidad_medida: UNIDAD_MEDIDA.PT,ES53,24.58
2016,unidad_medida: UNIDAD_MEDIDA.PT,ES53,17.75
2017,unidad_medida: UNIDAD_MEDIDA.PT,ES53,23.96
2018,unidad_medida: UNIDAD_MEDIDA.PT,ES53,18.39
2010,unidad_medida: UNIDAD_MEDIDA.PT,ES,16.78
2011,unidad_medida: UNIDAD_MEDIDA.PT,ES,16.90
2012,unidad_medida: UNIDAD_MEDIDA.PT,ES,17.72
2013,unidad_medida: UNIDAD_MEDIDA.PT,ES,18.11
2014,unidad_medida: UNIDAD_MEDIDA.PT,ES,18.78
2015,unidad_medida: UNIDAD_MEDIDA.PT,ES,18.43
2016,unidad_medida: UNIDAD_MEDIDA.PT,ES,17.97
2017,unidad_medida: UNIDAD_MEDIDA.PT,ES,18.18
2018,unidad_medida: UNIDAD_MEDIDA.PT,ES,17.60
2019,unidad_medida: UNIDAD_MEDIDA.PT,ES53,18.2
2019,unidad_medida: UNIDAD_MEDIDA.PT,ES,17.16
