Year,Units,general.territorio,Serie,DIM_DES.SERVICIOS_BASICOS,Value
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERVICIOS_BASICOS._L_BSRV_H2O,99.84
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERVICIOS_BASICOS._L_BSRV_H2O,99.37
2011,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_A,SERVICIOS_BASICOS._L_BSRV_H2O,99.51
2011,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_A,SERVICIOS_BASICOS._L_BSRV_H2O,99.68
2011,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_A,SERVICIOS_BASICOS._L_BSRV_H2O,98.26
2011,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_A,SERVICIOS_BASICOS._L_BSRV_H2O,98.50
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERVICIOS_BASICOS._L_BSRV_SAN,99.42
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERVICIOS_BASICOS._L_BSRV_SAN,99.30
2011,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_B,SERVICIOS_BASICOS._L_BSRV_SAN,99.30
2011,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_B,SERVICIOS_BASICOS._L_BSRV_SAN,99.32
2011,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_B,SERVICIOS_BASICOS._L_BSRV_SAN,99.32
2011,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_B,SERVICIOS_BASICOS._L_BSRV_SAN,99.12
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERVICIOS_BASICOS._L_BSRV_BATH,99.49
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERVICIOS_BASICOS._L_BSRV_BATH,99.53
2011,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_C,SERVICIOS_BASICOS._L_BSRV_BATH,99.54
2011,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_C,SERVICIOS_BASICOS._L_BSRV_BATH,99.73
2011,UNIDAD_MEDIDA.PT,ES531_072,SERIE.SERIE_C,SERVICIOS_BASICOS._L_BSRV_BATH,99.35
2011,UNIDAD_MEDIDA.PT,ES531_071,SERIE.SERIE_C,SERVICIOS_BASICOS._L_BSRV_BATH,99.59
