Year,Units,general.territorio,Value
2012,UNIDAD_MEDIDA.PT,ES,20.43
2012,UNIDAD_MEDIDA.PT,ES53,16.81
2013,UNIDAD_MEDIDA.PT,ES,23.29
2013,UNIDAD_MEDIDA.PT,ES53,19.24
2014,UNIDAD_MEDIDA.PT,ES,23.36
2014,UNIDAD_MEDIDA.PT,ES53,19.55
2015,UNIDAD_MEDIDA.PT,ES,23.53
2015,UNIDAD_MEDIDA.PT,ES53,19.05
2016,UNIDAD_MEDIDA.PT,ES,24.46
2016,UNIDAD_MEDIDA.PT,ES53,20.31
2017,UNIDAD_MEDIDA.PT,ES,24.3
2017,UNIDAD_MEDIDA.PT,ES53,20.71
2018,UNIDAD_MEDIDA.PT,ES,23.83
2018,UNIDAD_MEDIDA.PT,ES53,19.14
2019,UNIDAD_MEDIDA.PT,ES,23.58
2019,UNIDAD_MEDIDA.PT,ES53,19.59
