Year,Units,general.territorio,Value
2012,UNIDAD_MEDIDA.PT,ES,30.98
2012,UNIDAD_MEDIDA.PT,ES53,25.97
2013,UNIDAD_MEDIDA.PT,ES,35.35
2013,UNIDAD_MEDIDA.PT,ES53,30.14
2014,UNIDAD_MEDIDA.PT,ES,35.36
2014,UNIDAD_MEDIDA.PT,ES53,30.99
2015,UNIDAD_MEDIDA.PT,ES,35.71
2015,UNIDAD_MEDIDA.PT,ES53,30.03
2016,UNIDAD_MEDIDA.PT,ES,36.97
2016,UNIDAD_MEDIDA.PT,ES53,31.53
2017,UNIDAD_MEDIDA.PT,ES,36.71
2017,UNIDAD_MEDIDA.PT,ES53,32.12
2018,UNIDAD_MEDIDA.PT,ES,36.46
2018,UNIDAD_MEDIDA.PT,ES53,30.18
2019,UNIDAD_MEDIDA.PT,ES,36.44
2019,UNIDAD_MEDIDA.PT,ES53,31.11
