Year,Units,general.territorio,Serie,general.series,DIM_DES.INCOME_WEALTH_QUANTILE,DIM_DES.COMPOSITE_BREAKDOWN,Value
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,-2.61
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,-4.63
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,-5.26
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,0.27
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,-1.15
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,0.40
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,0.00
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,3.42
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,1.10
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,2.09
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,2.35
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,4.89
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_100101_03,INCOME_WEALTH_QUANTILE.B40,COMPOSITE_BREAKDOWN._T,2.49
