Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.MEDIANA_INGRESOS,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,13.80
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,13.85
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,13.77
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,17.01
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,14.36
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,13.97
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,13.89
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,15.24
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,15.90
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,15.43
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,15.93
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,18.03
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,15.48
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,9.97
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,15.71
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,13.07
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,14.63
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,9.45
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,13.58
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,8.30
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,14.60
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,8.91
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,15.12
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,13.28
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,13.75
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_COUNTRY,11.57
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,13.47
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,15.61
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,13.00
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,18.56
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,13.83
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,14.17
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,13.34
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,15.24
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,14.85
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,15.43
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,14.68
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,19.90
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,14.73
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,12.15
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,14.66
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,12.96
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,13.79
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100201_S1,MEDIANA_INGRESOS._L_MI_NUTS2,13.52
