Year,Units,general.territorio,Value
2015,UNIDAD_MEDIDA.EUR,ES,10.77
2015,UNIDAD_MEDIDA.EUR,ES53,16.96
2016,UNIDAD_MEDIDA.EUR,ES,10.78
2016,UNIDAD_MEDIDA.EUR,ES53,16.51
2017,UNIDAD_MEDIDA.EUR,ES,11.48
2017,UNIDAD_MEDIDA.EUR,ES53,23.33
2018,UNIDAD_MEDIDA.EUR,ES,12.36
2018,UNIDAD_MEDIDA.EUR,ES53,17.91
2019,UNIDAD_MEDIDA.EUR,ES,13.29
2019,UNIDAD_MEDIDA.EUR,ES53,23.28
2020,UNIDAD_MEDIDA.EUR,ES,12.73
2020,UNIDAD_MEDIDA.EUR,ES53,19.80
2021,UNIDAD_MEDIDA.EUR,ES,13.78
2021,UNIDAD_MEDIDA.EUR,ES53,26.22
2022,UNIDAD_MEDIDA.EUR,ES,15.02
2022,UNIDAD_MEDIDA.EUR,ES53,27.11
