Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.TIPO_TRATAMIENTO,Value
2010,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,741.37
2011,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,775.11
2012,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,709.66
2013,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,727.44
2014,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,664.11
2015,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,800.60
2016,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,740.09
2017,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,749.99
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,61.48
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,67.26
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,61.85
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_INCINERATED,57.48
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,18.37
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,14.65
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,17.02
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,20.64
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,20.14
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,18.09
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,21.13
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,21.87
2010,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,523.6
2011,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,498.16
2012,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,478.89
2013,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_110601_01,,467.57
