Year,Units,general.territorio,Value
2011,UNIDAD_MEDIDA.PT,ES,53.29
2011,UNIDAD_MEDIDA.PT,ES53,56.82
2012,UNIDAD_MEDIDA.PT,ES,46.74
2012,UNIDAD_MEDIDA.PT,ES53,52.38
2013,UNIDAD_MEDIDA.PT,ES,41.13
2013,UNIDAD_MEDIDA.PT,ES53,40.00
2014,UNIDAD_MEDIDA.PT,ES,37.15
2014,UNIDAD_MEDIDA.PT,ES53,37.74
2015,UNIDAD_MEDIDA.PT,ES,48.4
2015,UNIDAD_MEDIDA.PT,ES53,50.00
2016,UNIDAD_MEDIDA.PT,ES,43.17
2016,UNIDAD_MEDIDA.PT,ES53,40.00
2017,UNIDAD_MEDIDA.PT,ES,47.97
2017,UNIDAD_MEDIDA.PT,ES53,64.71
2018,UNIDAD_MEDIDA.PT,ES,44.69
2018,UNIDAD_MEDIDA.PT,ES53,28.57
2019,UNIDAD_MEDIDA.PT,ES,48.92
2019,UNIDAD_MEDIDA.PT,ES53,46.00
2020,UNIDAD_MEDIDA.PT,ES,48.01
2020,UNIDAD_MEDIDA.PT,ES53,41.67
2021,UNIDAD_MEDIDA.PT,ES,46.03
2021,UNIDAD_MEDIDA.PT,ES53,29.14
2022,UNIDAD_MEDIDA.PT,ES,46.36
2022,UNIDAD_MEDIDA.PT,ES53,36.17
