Year,Units,general.territorio,Serie,general.series,DIM_DES.COMPOSITE_BREAKDOWN,Value
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,44.33
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,44.60
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,39.80
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,34.29
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,35.04
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,29.65
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,34.03
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,28.14
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,39.77
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,37.86
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,38.37
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,30.37
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,43.20
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,43.58
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,40.95
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,30.71
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,44.46
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SP_PSR_SATIS,COMPOSITE_BREAKDOWN._L_SERVICE_T,44.50
