Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,1.43
2010,UNIDAD_MEDIDA.IX,ES53,1.47
2011,UNIDAD_MEDIDA.IX,ES,1.43
2011,UNIDAD_MEDIDA.IX,ES53,1.47
2012,UNIDAD_MEDIDA.IX,ES,1.46
2012,UNIDAD_MEDIDA.IX,ES53,1.49
2013,UNIDAD_MEDIDA.IX,ES,1.46
2013,UNIDAD_MEDIDA.IX,ES53,1.47
2014,UNIDAD_MEDIDA.IX,ES,1.47
2014,UNIDAD_MEDIDA.IX,ES53,1.47
2015,UNIDAD_MEDIDA.IX,ES,1.48
2015,UNIDAD_MEDIDA.IX,ES53,1.46
2016,UNIDAD_MEDIDA.IX,ES,1.48
2016,UNIDAD_MEDIDA.IX,ES53,1.48
2017,UNIDAD_MEDIDA.IX,ES,1.49
2017,UNIDAD_MEDIDA.IX,ES53,1.49
2018,UNIDAD_MEDIDA.IX,ES,1.49
2018,UNIDAD_MEDIDA.IX,ES53,1.48
2019,UNIDAD_MEDIDA.IX,ES,1.50
2019,UNIDAD_MEDIDA.IX,ES53,1.49
2020,UNIDAD_MEDIDA.IX,ES,1.50
2020,UNIDAD_MEDIDA.IX,ES53,1.50
2021,UNIDAD_MEDIDA.IX,ES,1.51
2021,UNIDAD_MEDIDA.IX,ES53,1.49
2022,UNIDAD_MEDIDA.IX,ES,1.51
2022,UNIDAD_MEDIDA.IX,ES53,1.49
