Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,0.95
2010,UNIDAD_MEDIDA.IX,ES53,1.00
2011,UNIDAD_MEDIDA.IX,ES,0.95
2011,UNIDAD_MEDIDA.IX,ES53,0.99
2012,UNIDAD_MEDIDA.IX,ES,0.95
2012,UNIDAD_MEDIDA.IX,ES53,0.99
2013,UNIDAD_MEDIDA.IX,ES,0.93
2013,UNIDAD_MEDIDA.IX,ES53,0.98
2014,UNIDAD_MEDIDA.IX,ES,0.93
2014,UNIDAD_MEDIDA.IX,ES53,0.98
2015,UNIDAD_MEDIDA.IX,ES,0.93
2015,UNIDAD_MEDIDA.IX,ES53,0.98
2016,UNIDAD_MEDIDA.IX,ES,0.95
2016,UNIDAD_MEDIDA.IX,ES53,1.00
2017,UNIDAD_MEDIDA.IX,ES,0.97
2017,UNIDAD_MEDIDA.IX,ES53,1.02
2018,UNIDAD_MEDIDA.IX,ES,0.98
2018,UNIDAD_MEDIDA.IX,ES53,1.04
2019,UNIDAD_MEDIDA.IX,ES,1.00
2019,UNIDAD_MEDIDA.IX,ES53,1.07
2020,UNIDAD_MEDIDA.IX,ES,1.01
2020,UNIDAD_MEDIDA.IX,ES53,1.08
2021,UNIDAD_MEDIDA.IX,ES,1.03
2021,UNIDAD_MEDIDA.IX,ES53,1.11
2022,UNIDAD_MEDIDA.IX,ES,1.04
2022,UNIDAD_MEDIDA.IX,ES53,1.11
2023,UNIDAD_MEDIDA.IX,ES,1.04
2023,UNIDAD_MEDIDA.IX,ES53,1.14
