Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,0.86
2010,UNIDAD_MEDIDA.IX,ES53,1.05
2011,UNIDAD_MEDIDA.IX,ES,0.87
2011,UNIDAD_MEDIDA.IX,ES53,1.06
2012,UNIDAD_MEDIDA.IX,ES,0.92
2012,UNIDAD_MEDIDA.IX,ES53,0.98
2013,UNIDAD_MEDIDA.IX,ES,0.92
2013,UNIDAD_MEDIDA.IX,ES53,0.97
2014,UNIDAD_MEDIDA.IX,ES,0.93
2014,UNIDAD_MEDIDA.IX,ES53,0.97
2015,UNIDAD_MEDIDA.IX,ES,0.93
2015,UNIDAD_MEDIDA.IX,ES53,0.97
2016,UNIDAD_MEDIDA.IX,ES,0.94
2016,UNIDAD_MEDIDA.IX,ES53,0.98
2017,UNIDAD_MEDIDA.IX,ES,0.94
2017,UNIDAD_MEDIDA.IX,ES53,0.99
2018,UNIDAD_MEDIDA.IX,ES,0.95
2018,UNIDAD_MEDIDA.IX,ES53,0.97
2019,UNIDAD_MEDIDA.IX,ES,0.96
2019,UNIDAD_MEDIDA.IX,ES53,0.98
2020,UNIDAD_MEDIDA.IX,ES,0.96
2020,UNIDAD_MEDIDA.IX,ES53,0.99
2021,UNIDAD_MEDIDA.IX,ES,0.97
2021,UNIDAD_MEDIDA.IX,ES53,1.00
2022,UNIDAD_MEDIDA.IX,ES,0.97
2022,UNIDAD_MEDIDA.IX,ES53,0.99
2023,UNIDAD_MEDIDA.IX,ES,0.98
2023,UNIDAD_MEDIDA.IX,ES53,0.97
2024,UNIDAD_MEDIDA.IX,ES,0.98
2024,UNIDAD_MEDIDA.IX,ES53,0.96
