Year,Units,general.territorio,Serie,DIM_DES.INSTITUCION,Value
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.07
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.14
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.07
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.14
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.08
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.15
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.08
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.14
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.08
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.15
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.08
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.14
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.10
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.17
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.11
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.17
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.12
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.18
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.13
2019,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.19
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.14
2020,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.20
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.16
2021,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.22
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.16
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.21
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.18
