Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,-3.77
2010,UNIDAD_MEDIDA.PT,ES53,-4.94
2011,UNIDAD_MEDIDA.PT,ES,-5.16
2011,UNIDAD_MEDIDA.PT,ES53,-4.98
2012,UNIDAD_MEDIDA.PT,ES,-2.00
2012,UNIDAD_MEDIDA.PT,ES53,-1.99
2013,UNIDAD_MEDIDA.PT,ES,-1.60
2013,UNIDAD_MEDIDA.PT,ES53,-1.21
2014,UNIDAD_MEDIDA.PT,ES,-1.81
2014,UNIDAD_MEDIDA.PT,ES53,-1.84
2015,UNIDAD_MEDIDA.PT,ES,-1.75
2015,UNIDAD_MEDIDA.PT,ES53,-1.76
2016,UNIDAD_MEDIDA.PT,ES,-0.85
2016,UNIDAD_MEDIDA.PT,ES53,-0.62
2017,UNIDAD_MEDIDA.PT,ES,-0.36
2017,UNIDAD_MEDIDA.PT,ES53,0.26
2018,UNIDAD_MEDIDA.PT,ES,-0.27
2018,UNIDAD_MEDIDA.PT,ES53,-0.45
2019,UNIDAD_MEDIDA.PT,ES,-0.59
2019,UNIDAD_MEDIDA.PT,ES53,-0.56
2020,UNIDAD_MEDIDA.PT,ES,-0.18
2020,UNIDAD_MEDIDA.PT,ES53,0.21
2021,UNIDAD_MEDIDA.PT,ES,-0.05
2021,UNIDAD_MEDIDA.PT,ES53,0.84
