Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2010,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2010,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2010,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2010,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2010,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2011,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2011,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2011,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2011,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2011,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2011,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2012,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2012,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2012,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2012,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2012,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2012,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2013,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2013,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2013,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2013,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2013,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2013,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2014,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2014,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2014,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2014,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2014,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2014,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2015,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2016,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2017,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2018,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2019,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2020,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES53,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_071,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES531_072,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES532,1.00
2021,UNIDAD_MEDIDA.BOOL_YES_NO,ES533,1.00
