Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.TECNOLOGIA_ACCESO,Value
2010,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,22.91
2010,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,25.65
2011,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,23.92
2011,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,25.27
2012,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,24.6
2012,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,25.83
2013,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,26.2
2013,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,27.38
2014,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,27.96
2014,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,29.64
2015,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,29.16
2015,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,31.27
2016,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,30.39
2016,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,32.70
2017,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,31.53
2017,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,35.07
2018,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,32.53
2018,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,36.27
2019,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,33.27
2019,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,35.95
2020,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,34.2
2020,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,35.71
2021,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,35.18
2021,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,35.82
2010,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,18.1
2010,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,20.50
2011,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,18.68
2011,UNIDAD_MEDIDA.PER_100_POP,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,20.22
2012,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170601_S1,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,19.01
