Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.KT,ES,201.31
2010,UNIDAD_MEDIDA.KT,ES53,1.05
2011,UNIDAD_MEDIDA.KT,ES,199.01
2011,UNIDAD_MEDIDA.KT,ES53,1.17
2012,UNIDAD_MEDIDA.KT,ES,198.53
2012,UNIDAD_MEDIDA.KT,ES53,1.17
2013,UNIDAD_MEDIDA.KT,ES,196.58
2013,UNIDAD_MEDIDA.KT,ES53,1.08
2014,UNIDAD_MEDIDA.KT,ES,199.32
2014,UNIDAD_MEDIDA.KT,ES53,0.98
2015,UNIDAD_MEDIDA.KT,ES,202.43
2015,UNIDAD_MEDIDA.KT,ES53,0.97
2016,UNIDAD_MEDIDA.KT,ES,205.32
2016,UNIDAD_MEDIDA.KT,ES53,0.97
2017,UNIDAD_MEDIDA.KT,ES,206.51
2017,UNIDAD_MEDIDA.KT,ES53,0.92
2018,UNIDAD_MEDIDA.KT,ES,210.11
2018,UNIDAD_MEDIDA.KT,ES53,0.93
2019,UNIDAD_MEDIDA.KT,ES,208.67
2019,UNIDAD_MEDIDA.KT,ES53,0.93
2020,UNIDAD_MEDIDA.KT,ES,207.61
2020,UNIDAD_MEDIDA.KT,ES53,0.89
2021,UNIDAD_MEDIDA.KT,ES,211.65
2021,UNIDAD_MEDIDA.KT,ES53,0.86
2022,UNIDAD_MEDIDA.KT,ES,202.75
2022,UNIDAD_MEDIDA.KT,ES53,0.84
2023,UNIDAD_MEDIDA.KT,ES53,0.83
