Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.ACTIVIDAD,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,6.53
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,14.90
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,7.24
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,15.00
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,7.11
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,13.51
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,6.52
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,13.42
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,6.75
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,13.39
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,7.79
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,14.96
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,7.99
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,15.73
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,8.21
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,16.23
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,8.88
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,18.19
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,9.32
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.AG_LND_SUST,,18.84
2010,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,442.85
2010,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,2.20
2011,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,431.66
2011,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,2.37
2012,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,429.52
2012,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,2.35
2013,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,435.75
