Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,84.23
2010,UNIDAD_MEDIDA.IX,ES53,84.4
2011,UNIDAD_MEDIDA.IX,ES,85.90
2011,UNIDAD_MEDIDA.IX,ES53,85.5
2012,UNIDAD_MEDIDA.IX,ES,87.88
2012,UNIDAD_MEDIDA.IX,ES53,87.5
2013,UNIDAD_MEDIDA.IX,ES,90.42
2013,UNIDAD_MEDIDA.IX,ES53,90.1
2014,UNIDAD_MEDIDA.IX,ES,90.10
2014,UNIDAD_MEDIDA.IX,ES53,90.1
2015,UNIDAD_MEDIDA.IX,ES,91.18
2015,UNIDAD_MEDIDA.IX,ES53,91.8
2016,UNIDAD_MEDIDA.IX,ES,92.46
2016,UNIDAD_MEDIDA.IX,ES53,93.2
2017,UNIDAD_MEDIDA.IX,ES,93.63
2017,UNIDAD_MEDIDA.IX,ES53,94.2
2018,UNIDAD_MEDIDA.IX,ES,95.13
2018,UNIDAD_MEDIDA.IX,ES53,95.4
2019,UNIDAD_MEDIDA.IX,ES,96.09
2019,UNIDAD_MEDIDA.IX,ES53,96.2
2020,UNIDAD_MEDIDA.IX,ES,98.40
2020,UNIDAD_MEDIDA.IX,ES53,98.1
2021,UNIDAD_MEDIDA.IX,ES,100.00
2021,UNIDAD_MEDIDA.IX,ES53,100.00
2022,UNIDAD_MEDIDA.IX,ES,111.89
2022,UNIDAD_MEDIDA.IX,ES53,110.8
2023,UNIDAD_MEDIDA.IX,ES,124.89
2023,UNIDAD_MEDIDA.IX,ES53,123.5
2024,UNIDAD_MEDIDA.IX,ES,129.25
2024,UNIDAD_MEDIDA.IX,ES53,128.53
