Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,91.92
2010,UNIDAD_MEDIDA.IX,ES53,69.95
2011,UNIDAD_MEDIDA.IX,ES,93.75
2011,UNIDAD_MEDIDA.IX,ES53,71.07
2012,UNIDAD_MEDIDA.IX,ES,95.69
2012,UNIDAD_MEDIDA.IX,ES53,71.62
2013,UNIDAD_MEDIDA.IX,ES,96.91
2013,UNIDAD_MEDIDA.IX,ES53,72.81
2014,UNIDAD_MEDIDA.IX,ES,96.44
2014,UNIDAD_MEDIDA.IX,ES53,73.15
2015,UNIDAD_MEDIDA.IX,ES,96.58
2015,UNIDAD_MEDIDA.IX,ES53,73.38
2016,UNIDAD_MEDIDA.IX,ES,96.83
2016,UNIDAD_MEDIDA.IX,ES53,73.66
2017,UNIDAD_MEDIDA.IX,ES,96.44
2017,UNIDAD_MEDIDA.IX,ES53,73.93
2018,UNIDAD_MEDIDA.IX,ES,97.17
2018,UNIDAD_MEDIDA.IX,ES53,74.58
2019,UNIDAD_MEDIDA.IX,ES,98.31
2019,UNIDAD_MEDIDA.IX,ES53,74.93
2020,UNIDAD_MEDIDA.IX,ES,99.27
2020,UNIDAD_MEDIDA.IX,ES53,74.32
2021,UNIDAD_MEDIDA.IX,ES,100.00
2021,UNIDAD_MEDIDA.IX,ES53,76.21
2022,UNIDAD_MEDIDA.IX,ES,114.86
2022,UNIDAD_MEDIDA.IX,ES53,85.72
2023,UNIDAD_MEDIDA.IX,ES,127.41
2023,UNIDAD_MEDIDA.IX,ES53,95.10
2024,UNIDAD_MEDIDA.IX,ES,128.82
2024,UNIDAD_MEDIDA.IX,ES53,97.50
2025,UNIDAD_MEDIDA.IX,ES53,100.00
