Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,84.23
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,84.4
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,85.90
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,85.5
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,87.88
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,87.5
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,90.42
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,90.1
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,90.10
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,90.1
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,91.18
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,91.8
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,92.46
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,93.2
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,93.63
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,94.2
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,95.13
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,95.4
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,96.09
2019,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,96.2
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,98.40
2020,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,98.11
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,100.00
2021,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,100.00
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,111.89
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,110.8
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,124.89
2023,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,123.5
2024,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_020C01_01,129.25
2024,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_020C01_01,128.53
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_020C01_02,91.92
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_020C01_02,92.31
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_020C01_02,93.75
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_020C01_02,93.54
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_020C01_02,95.69
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_020C01_02,94.05
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_020C01_02,96.91
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_020C01_02,95.49
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_020C01_02,96.44
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_020C01_02,95.86
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_020C01_02,96.58
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_020C01_02,96.13
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_020C01_02,96.83
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_020C01_02,96.57
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_020C01_02,96.44
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_020C01_02,97.02
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_020C01_02,97.17
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_020C01_02,97.96
