Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.12
2010,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.17
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.11
2011,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.14
2012,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.11
2012,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.16
2013,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.09
2013,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.15
2014,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.10
2014,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.12
2015,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.09
2015,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.13
2016,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.09
2016,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.14
2017,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.09
2017,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.14
2018,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.08
2018,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.11
2019,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0.07
2019,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.10
2020,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_A,SEXO._T,0.10
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.19
2010,UNIDAD_MEDIDA.PER_1000,ES53,SERIE.SERIE_B,SEXO.M,0.27
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0.18
