Year,Units,general.territorio,Serie,DIM_DES.SEX,Value
2010,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,1.61
2010,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,2.02
2011,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,1.44
2011,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,1.28
2012,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,1.15
2012,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,2.09
2013,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,1.40
2013,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,2.44
2014,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,1.40
2014,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,2.26
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,1.18
2015,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,0.90
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,1.10
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,1.25
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,0.97
2017,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,1.41
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,0.82
2018,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,0.96
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,0.72
2019,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,0.66
2020,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,0.56
2021,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,0.85
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEX._T,0.54
2022,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SEX._T,1.25
2010,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,2.42
2010,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,3.47
2011,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,2.03
2011,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,1.82
2012,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,1.67
2012,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,2.89
2013,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,02.06
2013,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,3.97
2014,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,02.07
2014,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,3.61
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,1.74
2015,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,1.62
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,1.70
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,1.96
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,1.55
2017,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,2.47
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,1.25
2018,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,1.74
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,1.07
2019,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,0.90
2020,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEX.M,0.77
2021,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEX.M,1.19
