Year,Units,general.territorio,Serie,DIM_DES.TIPO_ENFERMEDAD,Value
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,255.85
2010,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,225.35
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,91.46
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,155.55
2010,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,240.31
2010,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,199.57
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,253.18
2011,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,212.97
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,124.83
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,158.83
2011,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,223.21
2011,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,205.34
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,261.17
2012,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,221.58
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,175.93
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,176.33
2012,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,230.02
2012,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,214.57
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,252.21
2013,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,210.83
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,136.93
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,160.94
2013,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,219.90
2013,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,210.56
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,252.82
2014,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,204.20
2014,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,73.71
2014,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,146.71
2014,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,217.00
2014,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,189.37
2015,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,267.76
2015,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,214.03
2015,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,95.28
2015,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,141.39
2015,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,228.07
2015,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,210.65
2016,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,257.99
2016,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,200.56
2016,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,93.51
2016,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,131.77
2016,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,213.76
2016,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,198.68
2017,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,263.31
2017,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,206.48
2017,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,114.84
2017,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,157.25
2017,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,217.90
2017,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,188.70
2018,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,258.71
2018,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,196.56
2018,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,89.53
2018,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,133.44
2018,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,210.80
2018,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,176.20
2019,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,247.65
