Year,Units,general.territorio,Serie,general.series,DIM_DES.COMPOSITE_BREAKDOWN,DIM_DES.SEX,Value
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,101.99
2015,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,103.45
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,98.30
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,112.91
2016,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,143.77
2016,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,105.34
2016,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,132.38
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,100.62
2017,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,111.93
2017,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,142.96
2017,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,104.88
2017,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,125.97
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,102.69
2018,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,115.41
2018,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,22.38
2018,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,131.91
2018,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,117.83
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,106.26
2019,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,115.09
2019,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,133.40
2019,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,110.47
2019,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,127.73
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,81.41
2020,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,85.97
2020,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,111.99
2020,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,79.81
2020,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,100.07
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,93.66
2021,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,100.14
2021,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,131.75
2021,UNIDAD_MEDIDA.PER_100000,ES531_071,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,59.27
2021,UNIDAD_MEDIDA.PER_100000,ES531_072,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,137.26
2021,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,92.33
2021,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,119.79
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,95.96
2022,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,104.17
2022,UNIDAD_MEDIDA.PER_100000,ES531,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,137.92
2022,UNIDAD_MEDIDA.PER_100000,ES532,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,101.80
2022,UNIDAD_MEDIDA.PER_100000,ES533,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,68.27
2023,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_A,SERIES._L_ES_030501_01,COMPOSITE_BREAKDOWN._L_SUD_ILLEGAL_DRUGS,SEX._T,123.12
