Year,Units,general.territorio,Value
2015,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.26
2015,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,12.79
2016,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.70
2016,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,15.01
2017,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.72
2017,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,11.55
2018,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.22
2018,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,10.42
2019,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.50
2019,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,14.03
2020,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,8.52
2020,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,8.80
2021,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.27
2021,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,9.53
2022,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,11.45
2022,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,14.60
2023,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.87
2023,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES53,13.52
