Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_TRAF,5.02
2010,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,SERIES.SH_STA_TRAF,5.79
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_TRAF,0.00
2010,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_TRAF,7.70
2010,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_TRAF,5.62
2010,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,SERIES.SH_STA_TRAF,5.36
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.53
2011,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.75
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_TRAF,19.21
2011,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_TRAF,6.81
2011,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.31
2011,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.26
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.09
2012,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,SERIES.SH_STA_TRAF,5.52
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_TRAF,0.00
2012,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_TRAF,8.85
2012,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.98
2012,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,SERIES.SH_STA_TRAF,6.37
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.88
2013,UNIDAD_MEDIDA.PER_100000_POP,ES53,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.77
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_071,SERIE.SERIE_A,SERIES.SH_STA_TRAF,25.67
2013,UNIDAD_MEDIDA.PER_100000_POP,ES531_072,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.29
2013,UNIDAD_MEDIDA.PER_100000_POP,ES532,SERIE.SERIE_A,SERIES.SH_STA_TRAF,3.69
2013,UNIDAD_MEDIDA.PER_100000_POP,ES533,SERIE.SERIE_A,SERIES.SH_STA_TRAF,1.06
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_A,SERIES.SH_STA_TRAF,4.03
