Year,Units,Territorio,Serie,DIMENSION_DESAGREGACION.EDAD,Value
2010,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_A,EDAD.Y10T14,0.12
2011,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_A,EDAD.Y10T14,0.00
2012,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_A,EDAD.Y10T14,0.04
2013,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_A,EDAD.Y10T14,0.15
2014,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_A,EDAD.Y10T14,0.04
2015,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_A,EDAD.Y10T14,0.11
2016,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_A,EDAD.Y10T14,0.11
2017,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_A,EDAD.Y10T14,0.04
2018,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_A,EDAD.Y10T14,0.10
2010,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_B,EDAD.Y15T19,11.28
2011,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_B,EDAD.Y15T19,9.33
2012,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_B,EDAD.Y15T19,9.00
2013,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_B,EDAD.Y15T19,8.21
2014,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_B,EDAD.Y15T19,7.43
2015,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_B,EDAD.Y15T19,5.97
2016,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_B,EDAD.Y15T19,7.62
2017,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_B,EDAD.Y15T19,7.36
2018,UNIDAD_MEDIDA.PER_1000_POP,ES53,SERIE.SERIE_B,EDAD.Y15T19,5.48
