Year,Units,general.territorio,Serie,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,5.72
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,3.63
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,5.65
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,5.25
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,5.62
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,5.08
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,5.91
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,5.23
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,6.41
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,5.64
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,7.01
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,7.40
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,7.28
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,5.52
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,7.08
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,5.94
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,7.05
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,5.24
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,7.87
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,4.43
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,8.54
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,4.84
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,9.99
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,8.97
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,9.45
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,6.46
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,9.25
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,7.22
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,9.45
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,4.71
,UNIDAD_MEDIDA.,,SERIE.SERIE_B,
