Year,Units,general.territorio,Serie,general.series,DIM_DES.SEX,Value
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_ACS_DTP3,SEX._T,94.84
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_ACS_DTP3,SEX._T,95.55
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_ACS_DTP3,SEX._T,94.75
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_ACS_DTP3,SEX._T,94.31
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_ACS_DTP3,SEX._T,93.39
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SH_ACS_DTP3,SEX._T,74.86
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_ACS_DTP3,SEX._T,95.25
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SH_ACS_DTP3,SEX._T,92.85
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SH_ACS_DTP3,SEX._T,83.83
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_030B01_03,SEX._T,88.46
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_030B01_03,SEX._T,94.79
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_030B01_03,SEX._T,94.42
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_030B01_03,SEX._T,93.71
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_030B01_03,SEX._T,93.24
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_030B01_03,SEX._T,74.50
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_030B01_03,SEX._T,94.88
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_030B01_03,SEX._T,92.26
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_030B01_03,SEX._T,84.40
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_030B01_04,SEX._T,93.14
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_030B01_04,SEX._T,94.45
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_030B01_04,SEX._T,94.26
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_030B01_04,SEX._T,93.93
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_030B01_04,SEX._T,91.91
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_030B01_04,SEX._T,79.53
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_030B01_04,SEX._T,93.92
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_030B01_04,SEX._T,91.81
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_030B01_04,SEX._T,75.85
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_030B01_05,SEX.F,77.78
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_030B01_05,SEX.F,79.41
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_030B01_05,SEX.F,80.21
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_030B01_05,SEX.F,81.79
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_030B01_05,SEX.F,81.83
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_030B01_05,SEX.F,48.38
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_030B01_05,SEX.F,80.75
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_030B01_05,SEX.F,83.73
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_030B01_05,SEX.F,75.24
