Year,Units,Territorio,Value
2010,UNIDAD_MEDIDA.PER_10000_POP,ES53,52.73
2011,UNIDAD_MEDIDA.PER_10000_POP,ES53,53.30
2012,UNIDAD_MEDIDA.PER_10000_POP,ES53,43.08
2013,UNIDAD_MEDIDA.PER_10000_POP,ES53,44.84
2014,UNIDAD_MEDIDA.PER_10000_POP,ES53,47.30
2015,UNIDAD_MEDIDA.PER_10000_POP,ES53,50.59
2016,UNIDAD_MEDIDA.PER_10000_POP,ES53,52.24
2017,UNIDAD_MEDIDA.PER_10000_POP,ES53,52.72
2018,UNIDAD_MEDIDA.PER_10000_POP,ES53,53.58
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,56.34
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,57.31
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,56.61
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,57.09
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,59.00
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,61.07
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,62.61
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,64.26
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,65.57
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,66.78
2019,UNIDAD_MEDIDA.PER_10000_POP,ES53,54.66
