Year,Units,general.territorio,Serie,DIM_DES.OCUPACION_SANITARIA,Value
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,47.89
2010,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,45.24
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,48.36
2011,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,45.37
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,48.99
2012,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,44.97
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,50.05
2013,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,46.17
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,51.29
2014,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,46.45
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,52.29
2015,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,47.16
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,53.29
2016,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,47.65
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,54.39
2017,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,48.26
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,55.52
2018,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,48.29
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,56.62
2019,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,48.58
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,58.27
2020,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,48.24
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,59.83
2021,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_A,OCUPACION_SANITARIA.ISCO08_221,51.68
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,56.34
2010,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,52.73
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,57.31
2011,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,53.30
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,56.61
2012,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,43.08
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,57.09
2013,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,44.84
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,59.00
2014,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,47.30
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,61.07
2015,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,50.59
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,62.61
2016,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,52.24
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,64.26
2017,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,52.72
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,65.57
2018,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,53.58
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,66.78
2019,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,54.66
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,68.57
2020,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,56.23
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,69.72
2021,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_B,OCUPACION_SANITARIA.ISCO08_2221_3221,57.25
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,5.96
2010,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,5.36
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.21
2011,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,5.51
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.67
2012,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,5.78
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.98
2013,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.25
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,7.17
2014,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.54
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,7.46
2015,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.68
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,7.68
2016,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.70
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,7.86
2017,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.83
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,8.05
2018,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.91
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,8.20
2019,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.86
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,8.39
2020,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,6.93
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,8.52
2021,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_C,OCUPACION_SANITARIA.ISCO08_2261,7.04
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,13.76
2010,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,10.74
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,13.88
2011,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,10.84
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,14.01
2012,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,10.96
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,14.33
2013,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,10.98
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,14.72
2014,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.08
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,15.02
2015,UNIDAD_MEDIDA.PER_10000_POP,ES53,SERIE.SERIE_D,OCUPACION_SANITARIA.ISCO08_2262,11.26
