Year,Units,general.territorio,Serie,DIM_DES.SEXO,DIM_DES.EDAD,DIM_DES.TIPO_COMPETENCIA,Value
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,81.66
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,77.52
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,76.59
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SEXO.M,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,71.13
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,86.88
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,83.79
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,76.39
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,73.49
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,77.86
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,74.80
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,74.89
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,72.21
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,80.85
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SEXO.M,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,77.29
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,84.58
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,75.03
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,75.94
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,74.09
