Year,Units,general.territorio,Serie,general.series,DIM_DES.AGE,DIM_DES.SEX,Value
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,95.40
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,98.79
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,95.09
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,98.20
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,96.01
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,99.11
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,96.07
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,99.50
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,96.18
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,97.90
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,96.26
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,96.57
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,96.50
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,97.40
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,96.77
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,96.58
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,96.77
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,97.80
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,97.36
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040102_01,AGE.Y18T20,SEX._T,97.72
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_040102_1A,AGE.Y18T20,SEX.M,94.38
