Year,Units,general.territorio,Serie,general.series,DIM_DES.AGE,Value
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_040501_01,AGE.Y18T64,0.97
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_040501_01,AGE.Y18T64,0.98
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_040501_01,AGE.Y18T64,0.98
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_040501_01,AGE.Y18T64,1.10
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIES._L_ES_040501_01,AGE.Y18T64,1.04
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_A,SERIES._L_ES_040501_01,AGE.Y18T64,1.08
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_040501_04,AGE.Y18T64,0.44
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_040501_04,AGE.Y18T64,0.45
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_040501_04,AGE.Y18T64,0.46
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_040501_04,AGE.Y18T64,0.61
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIES._L_ES_040501_04,AGE.Y18T64,0.58
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_B,SERIES._L_ES_040501_04,AGE.Y18T64,0.61
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,SERIES._L_ES_040501_00,AGE.Y18T64,0.76
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,SERIES._L_ES_040501_00,AGE.Y18T64,0.79
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_C,SERIES._L_ES_040501_00,AGE.Y18T64,0.69
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_C,SERIES._L_ES_040501_00,AGE.Y18T64,0.70
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.11
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.11
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.11
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.09
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.10
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.04
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.09
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.10
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.08
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.20
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.08
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.16
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.08
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.27
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.07
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.20
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.10
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.15
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.12
2019,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.14
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.12
2020,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.28
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.15
2021,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.17
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.14
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.13
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.14
2023,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.21
2024,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.13
2024,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_D,SERIES._L_ES_040501_05,AGE.Y15T64,1.18
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.88
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,1.10
