Year,Units,general.territorio,Serie,general.series,DIM_DES.COMPOSITE_BREAKDOWN,DIM_DES.SEX,Value
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES._L_ES_040601_01,COMPOSITE_BREAKDOWN.SKILL_READ,SEX._T,72.30
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES._L_ES_040601_01,COMPOSITE_BREAKDOWN.SKILL_READ,SEX._T,72.22
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIES._L_ES_040601_02,COMPOSITE_BREAKDOWN.SKILL_READ,SEX.M,73.49
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIES._L_ES_040601_02,COMPOSITE_BREAKDOWN.SKILL_READ,SEX.M,70.20
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040601_03,COMPOSITE_BREAKDOWN.SKILL_READ,SEX.F,71.10
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040601_03,COMPOSITE_BREAKDOWN.SKILL_READ,SEX.F,74.21
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040601_04,COMPOSITE_BREAKDOWN.SKILL_MATH,SEX._T,69.12
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040601_04,COMPOSITE_BREAKDOWN.SKILL_MATH,SEX._T,70.98
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040601_05,COMPOSITE_BREAKDOWN.SKILL_MATH,SEX.M,72.67
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040601_05,COMPOSITE_BREAKDOWN.SKILL_MATH,SEX.M,72.95
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040601_06,COMPOSITE_BREAKDOWN.SKILL_MATH,SEX.F,65.54
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040601_06,COMPOSITE_BREAKDOWN.SKILL_MATH,SEX.F,69.05
