Year,Units,general.territorio,Value
2011,UNIDAD_MEDIDA.PT,ES,80.60
2011,UNIDAD_MEDIDA.PT,ES53,79.60
2012,UNIDAD_MEDIDA.PT,ES,86.70
2012,UNIDAD_MEDIDA.PT,ES53,87.90
2013,UNIDAD_MEDIDA.PT,ES,89.80
2013,UNIDAD_MEDIDA.PT,ES53,92.20
2014,UNIDAD_MEDIDA.PT,ES,91.50
2014,UNIDAD_MEDIDA.PT,ES53,93.50
2015,UNIDAD_MEDIDA.PT,ES,92.70
2015,UNIDAD_MEDIDA.PT,ES53,95.00
2017,UNIDAD_MEDIDA.PT,ES,94.60
2017,UNIDAD_MEDIDA.PT,ES53,96.70
2019,UNIDAD_MEDIDA.PT,ES,96.80
2019,UNIDAD_MEDIDA.PT,ES53,97.80
2021,UNIDAD_MEDIDA.PT,ES,97.40
2021,UNIDAD_MEDIDA.PT,ES53,98.70
