Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.NUMBER,ES,4.30
2010,UNIDAD_MEDIDA.NUMBER,ES53,8.30
2011,UNIDAD_MEDIDA.NUMBER,ES,3.50
2011,UNIDAD_MEDIDA.NUMBER,ES53,2.90
2012,UNIDAD_MEDIDA.NUMBER,ES,3.20
2012,UNIDAD_MEDIDA.NUMBER,ES53,2.00
2013,UNIDAD_MEDIDA.NUMBER,ES,3.10
2013,UNIDAD_MEDIDA.NUMBER,ES53,1.90
2014,UNIDAD_MEDIDA.NUMBER,ES,3.00
2014,UNIDAD_MEDIDA.NUMBER,ES53,2.00
2015,UNIDAD_MEDIDA.NUMBER,ES,3.00
2015,UNIDAD_MEDIDA.NUMBER,ES53,2.00
2017,UNIDAD_MEDIDA.NUMBER,ES,3.00
2017,UNIDAD_MEDIDA.NUMBER,ES53,2.00
2019,UNIDAD_MEDIDA.NUMBER,ES,2.90
2019,UNIDAD_MEDIDA.NUMBER,ES53,1.90
2021,UNIDAD_MEDIDA.NUMBER,ES,2.50
2021,UNIDAD_MEDIDA.NUMBER,ES53,2.00
2023,UNIDAD_MEDIDA.NUMBER,ES,2.20
2023,UNIDAD_MEDIDA.NUMBER,ES53,2.70
