Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.NIVEL_EDUCATIVO,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_02,100.00
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_1,100.00
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_2,100.00
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_2,100.00
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_2,100.00
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_2,100.00
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_2,100.00
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_2,100.00
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL.SE_TRA_GRDL,NIVEL_EDUCATIVO._L_TEACH_ISCED11_2,100.00
