Year,Units,Territorio,Value
2011,Porcentaje,ES53,23.25
2012,Porcentaje,ES53,33.32
2013,Porcentaje,ES53,26.55
2014,Porcentaje,ES53,17.88
2015,Porcentaje,ES53,22.56
2016,Porcentaje,ES53,30.81
2017,Porcentaje,ES53,23.67
2018,Porcentaje,ES53,29.62
2011,Porcentaje,ES,28.09
2012,Porcentaje,ES,28.78
2013,Porcentaje,ES,29.34
2014,Porcentaje,ES,29.42
2015,Porcentaje,ES,30.35
2016,Porcentaje,ES,30.31
2017,Porcentaje,ES,30.92
2018,Porcentaje,ES,31.91
2019,Porcentaje,ES,33.73
2019,Porcentaje,ES53,40.85
2020,Porcentaje,ES53,29.93
2010,Porcentaje,ES53,0.00
2010,Porcentaje,ES,0.00
