Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,92.18
2010,UNIDAD_MEDIDA.PT,ES53,92.47
2011,UNIDAD_MEDIDA.PT,ES,92.19
2011,UNIDAD_MEDIDA.PT,ES53,92.36
2012,UNIDAD_MEDIDA.PT,ES,94.1
2012,UNIDAD_MEDIDA.PT,ES53,87.53
2013,UNIDAD_MEDIDA.PT,ES,94.35
2013,UNIDAD_MEDIDA.PT,ES53,94.10
2014,UNIDAD_MEDIDA.PT,ES,95.33
2014,UNIDAD_MEDIDA.PT,ES53,94.46
2015,UNIDAD_MEDIDA.PT,ES,95.52
2015,UNIDAD_MEDIDA.PT,ES53,97.44
2017,UNIDAD_MEDIDA.PT,ES,96.11
2017,UNIDAD_MEDIDA.PT,ES53,96.33
2019,UNIDAD_MEDIDA.PT,ES,97.12
2019,UNIDAD_MEDIDA.PT,ES53,97.26
2020,UNIDAD_MEDIDA.PT,ES,98.91
2020,UNIDAD_MEDIDA.PT,ES53,99.35
2021,UNIDAD_MEDIDA.PT,ES,99.23
2021,UNIDAD_MEDIDA.PT,ES53,99.51
