Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,92.30
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,93.02
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,92.79
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,92.54
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,94.38
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,90.62
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,94.18
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,94.49
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,95.01
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,95.52
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,95.45
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,97.29
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,96.16
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,97.20
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,96.92
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,98.05
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.89
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,99.33
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,99.17
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,99.40
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,99.25
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SEXO._T,99.29
