Year,Units,general.territorio,Serie,DIM_DES.FORMA_MEDIR_EMPLEO,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.94
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,2.25
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.77
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,2.57
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.10
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.45
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.06
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.58
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.35
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.63
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.01
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.39
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.88
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.91
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.34
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.53
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.08
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,-0.19
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,-0.64
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,-2.35
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,-7.45
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,-14.08
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,2.98
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,2.54
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.13
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,1.48
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,2.85
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,1.93
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,2.03
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,1.48
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,1.51
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.31
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,-0.34
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.79
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.97
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.46
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.90
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.87
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,2.71
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,-0.23
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,-1.36
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.55
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.37
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.03
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,-4.42
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,-1.55
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,2.45
