Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.EUR,ES,13.10
2010,UNIDAD_MEDIDA.EUR,ES53,13.40
2011,UNIDAD_MEDIDA.EUR,ES,13.20
2011,UNIDAD_MEDIDA.EUR,ES53,12.90
2012,UNIDAD_MEDIDA.EUR,ES,12.80
2012,UNIDAD_MEDIDA.EUR,ES53,13.50
2013,UNIDAD_MEDIDA.EUR,ES,12.60
2013,UNIDAD_MEDIDA.EUR,ES53,12.90
2014,UNIDAD_MEDIDA.EUR,ES,12.30
2014,UNIDAD_MEDIDA.EUR,ES53,10.80
2015,UNIDAD_MEDIDA.EUR,ES,13.00
2015,UNIDAD_MEDIDA.EUR,ES53,12.50
2016,UNIDAD_MEDIDA.EUR,ES,12.70
2016,UNIDAD_MEDIDA.EUR,ES53,11.80
2017,UNIDAD_MEDIDA.EUR,ES,12.90
2017,UNIDAD_MEDIDA.EUR,ES53,13.00
2018,UNIDAD_MEDIDA.EUR,ES,13.10
2018,UNIDAD_MEDIDA.EUR,ES53,12.20
2019,UNIDAD_MEDIDA.EUR,ES,13.70
2019,UNIDAD_MEDIDA.EUR,ES53,12.90
