Year,Units,general.territorio,Serie,general.series,DIM_DES.DISABILITY_STATUS,DIM_DES.SEX,Value
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.52
2010,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.15
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.53
2011,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,13.77
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.57
2012,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,13.97
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.64
2013,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,13.84
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.80
2014,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.26
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,15.01
2015,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.11
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.88
2016,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.14
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,15.13
2017,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.16
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,15.54
2018,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.87
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,15.85
2019,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,14.87
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,16.15
2020,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,15.31
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,16.54
2021,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_A,SERIES.SL_EMP_EARN,DISABILITY_STATUS._T,SEX._T,15.25
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.56
2010,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,14.78
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.68
2011,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,14.57
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.83
2012,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,14.88
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.87
2013,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,14.62
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.84
2014,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.33
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,16.04
2015,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,14.76
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.94
2016,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,14.84
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,16.10
2017,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,14.48
2018,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,16.52
2018,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.28
2019,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,16.63
2019,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.18
2020,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,16.92
2020,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.66
2021,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,17.30
2021,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_B,SERIES._L_ES_080501_03,DISABILITY_STATUS._T,SEX.M,15.67
2010,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.24
2010,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.41
2011,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.12
2011,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,12.87
2012,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.10
2012,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,12.99
2013,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.21
2013,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.04
2014,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.56
2014,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.17
2015,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.80
2015,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.45
2016,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.60
2016,UNIDAD_MEDIDA.EUR,ES53,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.42
2017,UNIDAD_MEDIDA.EUR,ES,SERIE.SERIE_C,SERIES._L_ES_080501_02,DISABILITY_STATUS._T,SEX.F,13.93
