Year,Units,general.territorio,Serie,general.series,DIM_DES.SEX,DIM_DES.DISABILITY_STATUS,DIM_DES.AGE,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,19.86
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,20.12
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,21.39
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,21.86
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,24.79
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,23.17
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,26.09
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,22.26
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,24.44
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,20.00
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,22.06
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,17.31
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,19.63
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,13.89
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,17.22
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,12.43
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,15.25
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,11.52
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,14.10
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,11.74
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,15.53
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,16.14
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,14.91
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,14.32
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,13.03
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,10.62
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SL_TLF_UEM,SEX._T,DISABILITY_STATUS._T,AGE._T,12.18
