Year,Units,general.territorio,Value
2016,UNIDAD_MEDIDA.PT,ES,33.01
2016,UNIDAD_MEDIDA.PT,ES53,37.45
2017,UNIDAD_MEDIDA.PT,ES,32.45
2017,UNIDAD_MEDIDA.PT,ES53,37.09
2018,UNIDAD_MEDIDA.PT,ES,31.27
2018,UNIDAD_MEDIDA.PT,ES53,35.43
2019,UNIDAD_MEDIDA.PT,ES,31.14
2019,UNIDAD_MEDIDA.PT,ES53,36.42
2020,UNIDAD_MEDIDA.PT,ES,41.57
2020,UNIDAD_MEDIDA.PT,ES53,53.02
2021,UNIDAD_MEDIDA.PT,ES,39.93
2021,UNIDAD_MEDIDA.PT,ES53,42.31
2022,UNIDAD_MEDIDA.PT,ES,31.97
2022,UNIDAD_MEDIDA.PT,ES53,34.97
2023,UNIDAD_MEDIDA.PT,ES,31.23
2023,UNIDAD_MEDIDA.PT,ES53,35.58
