Year,Units,general.territorio,Value
2011,UNIDAD_MEDIDA.PT,ES,3.70
2011,UNIDAD_MEDIDA.PT,ES53,3.07
2012,UNIDAD_MEDIDA.PT,ES,3.60
2012,UNIDAD_MEDIDA.PT,ES53,3.41
2013,UNIDAD_MEDIDA.PT,ES,3.80
2013,UNIDAD_MEDIDA.PT,ES53,3.78
2014,UNIDAD_MEDIDA.PT,ES,3.90
2014,UNIDAD_MEDIDA.PT,ES53,3.75
2015,UNIDAD_MEDIDA.PT,ES,3.90
2015,UNIDAD_MEDIDA.PT,ES53,3.70
2016,UNIDAD_MEDIDA.PT,ES,4.00
2016,UNIDAD_MEDIDA.PT,ES53,3.41
2017,UNIDAD_MEDIDA.PT,ES,4.10
2017,UNIDAD_MEDIDA.PT,ES53,3.64
2018,UNIDAD_MEDIDA.PT,ES,4.00
2018,UNIDAD_MEDIDA.PT,ES53,3.49
2019,UNIDAD_MEDIDA.PT,ES,4.00
2019,UNIDAD_MEDIDA.PT,ES53,4.75
2020,UNIDAD_MEDIDA.PT,ES,3.80
2020,UNIDAD_MEDIDA.PT,ES53,4.16
2021,UNIDAD_MEDIDA.PT,ES,3.80
2021,UNIDAD_MEDIDA.PT,ES53,4.07
2022,UNIDAD_MEDIDA.PT,ES,3.70
2022,UNIDAD_MEDIDA.PT,ES53,3.58
2023,UNIDAD_MEDIDA.PT,ES,3.90
2023,UNIDAD_MEDIDA.PT,ES53,4.46
