Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEX,Value
2016,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,26.65
2016,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,102.03
2017,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,27.87
2017,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,107.14
2018,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,27.03
2018,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,101.00
2019,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,26.44
2019,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,97.97
2020,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,12.65
2020,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,23.13
2021,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,17.14
2021,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,58.54
2022,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,26.07
2022,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,95.63
2023,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,26.07
2023,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,96.90
2024,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,26.90
2024,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080901_3A,,99.35
2016,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,12.78
2016,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,99.00
2017,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,13.62
2017,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,102.99
2018,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,13.20
2018,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,97.13
2019,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,12.62
2019,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,94.03
2020,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,3.13
2020,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,19.91
2021,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,5.36
2021,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,53.25
2022,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,11.25
2022,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,90.76
2023,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,12.73
2023,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,93.95
2024,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,13.89
2024,UNIDAD_MEDIDA.OVERNIGHT_STAY,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080901_3B,,96.68
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,14.04
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,4.27
2016,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.59
2016,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,5.41
2016,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,0.69
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,17.69
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,3.46
2017,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,3.21
2017,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,3.80
2017,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.27
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,16.70
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.87
2018,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.05
2018,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.90
2018,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.29
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,18.50
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.41
2019,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.94
2019,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.02
2019,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.02
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,16.80
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.22
