Year,Units,Territorio,Value
2010,UNIDAD_MEDIDA.PT,ES53,6.2
2011,UNIDAD_MEDIDA.PT,ES53,5.72
2012,UNIDAD_MEDIDA.PT,ES53,5.25
2013,UNIDAD_MEDIDA.PT,ES53,4.48
2014,UNIDAD_MEDIDA.PT,ES53,5.51
2015,UNIDAD_MEDIDA.PT,ES53,5.85
2016,UNIDAD_MEDIDA.PT,ES53,5.4
2017,UNIDAD_MEDIDA.PT,ES53,6.1
2018,UNIDAD_MEDIDA.PT,ES53,5.77
2010,UNIDAD_MEDIDA.PT,ES,12.85
2011,UNIDAD_MEDIDA.PT,ES,12.76
2012,UNIDAD_MEDIDA.PT,ES,12.61
2013,UNIDAD_MEDIDA.PT,ES,12.36
2014,UNIDAD_MEDIDA.PT,ES,12.35
2015,UNIDAD_MEDIDA.PT,ES,12.45
2016,UNIDAD_MEDIDA.PT,ES,12.45
2017,UNIDAD_MEDIDA.PT,ES,12.71
2018,UNIDAD_MEDIDA.PT,ES,12.65
2019,UNIDAD_MEDIDA.PT,ES,12.61
2019,UNIDAD_MEDIDA.PT,ES53,5.34
2020,UNIDAD_MEDIDA.PT,ES,12.66
2020,UNIDAD_MEDIDA.PT,ES53,5.61
