Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIMENSION_DESAGREGACION.FORMA_MEDIR_EMPLEO,Value
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,6.2
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,5.72
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,5.25
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,4.48
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,5.51
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,5.85
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,5.4
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,6.1
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,5.77
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,4.64
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,4.37
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,4.11
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.98
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.97
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.96
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.93
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.99
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.95
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,4.86
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,4.66
