Year,Units,general.territorio,Serie,general.series,DIM_DES.ACTIVITY,DIM_DES.COMPOSITE_BREAKDOWN,Value
2010,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.28
2010,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.34
2011,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.29
2011,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.32
2012,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.29
2012,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.30
2013,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.27
2013,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.27
2014,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.27
2014,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.25
2015,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.27
2015,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.25
2016,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.25
2016,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.24
2017,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.26
2017,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.25
2018,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.25
2018,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.25
2019,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.23
2019,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.22
2020,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.21
2020,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.19
2021,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.22
2021,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.20
2022,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.22
2022,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.18
2023,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.20
2023,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_A,SERIES.EN_ATM_CO2GDP,ACTIVITY._T,COMPOSITE_BREAKDOWN._L_AB_GDP,0.15
2010,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.60
2010,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.44
2011,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.58
2011,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.38
2012,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.60
2012,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.63
2013,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.58
2013,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.67
2014,UNIDAD_MEDIDA.KG_CO2_E,ES,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.55
2014,UNIDAD_MEDIDA.KG_CO2_E,ES53,SERIE.SERIE_B,SERIES.EN_ATM_CO2MVA,ACTIVITY.ISIC4_C,COMPOSITE_BREAKDOWN._L_AB_MVA,0.56
