Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.EUR,ES,2671.08
2010,UNIDAD_MEDIDA.EUR,ES53,875.11
2011,UNIDAD_MEDIDA.EUR,ES,2618.51
2011,UNIDAD_MEDIDA.EUR,ES53,770.10
2012,UNIDAD_MEDIDA.EUR,ES,2463.78
2012,UNIDAD_MEDIDA.EUR,ES53,643.45
2013,UNIDAD_MEDIDA.EUR,ES,2447.26
2013,UNIDAD_MEDIDA.EUR,ES53,593.33
2014,UNIDAD_MEDIDA.EUR,ES,2505.33
2014,UNIDAD_MEDIDA.EUR,ES53,640.54
2015,UNIDAD_MEDIDA.EUR,ES,2623.56
2015,UNIDAD_MEDIDA.EUR,ES53,676.78
2016,UNIDAD_MEDIDA.EUR,ES,2681.56
2016,UNIDAD_MEDIDA.EUR,ES53,659.83
2017,UNIDAD_MEDIDA.EUR,ES,2828.89
2017,UNIDAD_MEDIDA.EUR,ES53,673.12
2018,UNIDAD_MEDIDA.EUR,ES,2784.81
2018,UNIDAD_MEDIDA.EUR,ES53,663.97
2019,UNIDAD_MEDIDA.EUR,ES,2775.03
2019,UNIDAD_MEDIDA.EUR,ES53,664.65
2020,UNIDAD_MEDIDA.EUR,ES,2335.61
2020,UNIDAD_MEDIDA.EUR,ES53,544.76
2021,UNIDAD_MEDIDA.EUR,ES,2544.90
2021,UNIDAD_MEDIDA.EUR,ES53,565.89
